n,Ent.x,Ent.y,Ent.x.x,Ent.y.y,Ent.x.x.x,Ent.y.y.y,Ent.x.x.x.x,Ent.y.y.y.y,Ent
100.0,4.604651323141168,4.609916765127762,4.613561373949643,4.622106568453494,4.62038694363287,4.619990685903927,4.627004108630723,4.630210272279204,4.634935671634962
200.0,4.609323800354426,4.601468438890673,4.606150194088391,4.607426162251661,4.612722289935481,4.614560877855486,4.614995165471804,4.620204596878416,4.621169946359267
300.0,4.605183751176989,4.608245415759194,4.609231421262715,4.608451246845342,4.612007768579759,4.609756917918872,4.61395167516129,4.6119120155646325,4.6151207523789175
400.0,4.605863304825028,4.606021534975681,4.6053767666957395,4.606496930207316,4.606696329607909,4.61146757017193,4.611462156702942,4.610528495618722,4.612508121333033
500.0,4.607325388905765,4.604400232000486,4.6074522209238324,4.6080756096970035,4.607088779178755,4.608540010845397,4.610424608464462,4.608360941399092,4.6110086834934005
600.0,-Inf,4.606474454732495,4.6059047284799854,4.610426435274673,4.607362069619412,4.608043917685029,4.610281250434403,4.610084903183764,4.611447304630967
700.0,4.603272261608614,4.606523758138573,4.606821090668507,4.607306019723137,4.605874995977925,4.6089430806692455,4.608183803620985,4.610267549080544,4.608637030180158
800.0,4.605314841098715,4.60491318093755,4.606361694264494,4.606666335983414,4.607199908302573,4.608987031889318,4.60645868976307,4.6093238353235755,4.607749305173618
900.0,4.607482975656411,4.606197354642369,4.605193905200416,4.6069402750541375,4.607349231017217,4.606617179205064,4.608699073359538,4.607989277437991,4.608162920224481
1e3,4.602561801198882,4.606364776491163,4.605260489111406,4.604210621164297,4.606906950396918,4.606309661021086,4.608705463571461,4.6086326892338425,4.608078000204623
1100.0,4.607673288793912,4.606498172812323,4.605601380829671,4.605792585337297,4.60628885120576,4.607643962538675,4.607841737215033,4.608649244732325,4.6071450111867085
1200.0,4.604598210180488,4.60641417632208,4.605384888845514,4.606482909156832,4.607465350325124,4.606923601767103,4.6078989305649705,4.606934779044743,4.607149221677735
1300.0,4.604575032102165,4.606233920132818,4.606117561449763,4.605496649880806,4.606668413106713,4.606820488725886,4.607678941401971,4.60712292914463,4.60622454008532
1400.0,4.60381572580561,4.606106207898083,4.6052572272564145,4.605971485777693,4.606179313591746,4.605839495757945,4.606122505415196,4.606903922671491,4.607915200188943
1500.0,4.607441117271137,4.60698121802833,4.605517235344198,4.604753766979761,4.607397687286367,4.606944538633257,4.606586652559215,4.607059439382995,4.607087126612979
1600.0,4.602169574791466,4.603548516527817,4.604261925142,4.60524312546102,4.605604395228442,4.605898915834537,4.606397168510783,4.607513191933149,4.606425341654892
1700.0,4.605471336190132,4.605733303411225,4.605515904152114,4.607102076229774,4.606442862456819,4.606204251558262,4.606471503870458,4.606191930201095,4.606958139178385
1800.0,4.6069040536174635,4.605041224781849,4.605224827375059,4.606732342740766,4.60513556180929,4.606460496885716,4.6066097003567155,4.606711509947643,4.60735622144712
1900.0,4.6069741194693705,4.605099692026142,4.605752565305921,4.605085715657204,4.60595951812768,4.6055561259979605,4.607176515321099,4.6067668378237885,4.607040734923471
2e3,4.604640296189552,4.603980962671845,4.604656541669291,4.606152622703705,4.6053354813739835,4.606432341492796,4.606045519425524,4.606288928579484,4.606895295419868
2100.0,4.603580731912195,4.604958640915005,4.604735964195692,4.606319735626587,4.606016122793733,4.606761799020867,4.606061372438854,4.606643526073684,4.606514921637118
2200.0,4.60427174005303,4.605338444563771,4.606248452498487,4.60563292741246,4.606526953806622,4.606393450305973,4.606418092091119,4.606621722341938,4.606544740684399
2300.0,-Inf,4.6055040338708135,4.606518968827351,4.606147907467231,4.605991662895097,4.60616825281517,4.6057053872966245,4.606262300636246,4.606002740855937
2400.0,4.605513698953841,4.604820469116675,4.605568432638313,4.606074167860166,4.605866004990287,4.6055871834024655,4.606432130842878,4.606113584157932,4.606168168839616
2500.0,4.60317898357634,4.606924103041962,4.604721083276737,4.6064731987018614,4.605352570001499,4.605582083365358,4.606306584264344,4.606194518725588,4.605901069086847
2600.0,4.607038011077212,4.605725922741168,4.604431132030532,4.605683606655512,4.605927206385574,4.60467118595201,4.6061509464484525,4.606491214520403,4.607449373686795
2700.0,4.608118289179464,4.606187543565017,4.605272733509522,4.604756302563743,4.605619188817558,4.605648401818688,4.606104404922471,4.606063454524495,4.6060311046100955
2800.0,4.605117877784814,4.605256408525287,4.604668517999119,4.6054519810046255,4.605948415177394,4.605733026878079,4.606038451935928,4.606252533549393,4.60637066636099
2900.0,-Inf,4.605276209016751,4.605708899105312,4.60468147511665,4.605607642751999,4.6062067116809615,4.606373331020502,4.606658201371864,4.605858901984548
3e3,4.603966650125563,4.60586090799765,4.605715951988126,4.605688551226567,4.605774288002208,4.606086882759946,4.60556509321347,4.606193732565293,4.605894018553746
