n,Ent
100.0,4.630210272279204
200.0,4.620204596878416
300.0,4.6119120155646325
400.0,4.610528495618722
500.0,4.608360941399092
600.0,4.610084903183764
700.0,4.610267549080544
800.0,4.6093238353235755
900.0,4.607989277437991
1e3,4.6086326892338425
1100.0,4.608649244732325
1200.0,4.606934779044743
1300.0,4.60712292914463
1400.0,4.606903922671491
1500.0,4.607059439382995
1600.0,4.607513191933149
1700.0,4.606191930201095
1800.0,4.606711509947643
1900.0,4.6067668378237885
2e3,4.606288928579484
2100.0,4.606643526073684
2200.0,4.606621722341938
2300.0,4.606262300636246
2400.0,4.606113584157932
2500.0,4.606194518725588
2600.0,4.606491214520403
2700.0,4.606063454524495
2800.0,4.606252533549393
2900.0,4.606658201371864
3e3,4.606193732565293
3100.0,4.606179225261664
3200.0,4.606284559680278
3300.0,4.60566877363942
3400.0,4.606134522874832
3500.0,4.605632579305898
3600.0,4.606004754255796
3700.0,4.606456147367964
3800.0,4.605782340812724
3900.0,4.606389775779744
4e3,4.605850048879917
4100.0,4.605618676206113
4200.0,4.606061724398247
4300.0,4.606322540025711
4400.0,4.605543896666503
4500.0,4.605164594455794
4600.0,4.60575768442831
4700.0,4.605966443255397
4800.0,4.605790641719908
4900.0,4.606113773813178
5e3,4.605657947704479
5100.0,4.605625394250602
5200.0,4.605396335724601
5300.0,4.605612078672532
5400.0,4.605169384582657
5500.0,4.6057899687397414
5600.0,4.605473688333254
5700.0,4.605291679093128
5800.0,4.605407783177642
5900.0,4.605367750254854
6e3,4.605643362615723
6100.0,4.60538117044303
6200.0,4.605719791291418
6300.0,4.605626006693085
6400.0,4.60613334793882
6500.0,4.605689674938616
6600.0,4.605386200914551
6700.0,4.605693107530304
6800.0,4.605479402524285
6900.0,4.605783686353664
7e3,4.605159584992519
7100.0,4.605304627838303
7200.0,4.605689584541916
7300.0,4.605543224391786
7400.0,4.605377485014739
7500.0,4.6054882113518785
7600.0,4.605585942656053
7700.0,4.60603171243263
7800.0,4.6054373045876416
7900.0,4.605458846217024
8e3,4.60586164799566
8100.0,4.605430999465905
8200.0,4.605396996566322
8300.0,4.606366926504276
8400.0,4.605323267923212
8500.0,4.60538634326309
8600.0,4.605476729752064
8700.0,4.605513989467083
8800.0,4.60567123657235
8900.0,4.605194077119824
9e3,4.60525236794677
9100.0,4.605036603183672
9200.0,4.605486019971864
9300.0,4.605715349192534
9400.0,4.605301959916384
9500.0,4.605540167243473
9600.0,4.605788172902479
9700.0,4.605674546196185
9800.0,4.605594280857988
9900.0,4.6055368744861305
1e4,4.605622154661667
10100.0,4.605352672224808
10200.0,4.605721272212852
10300.0,4.605853325189153
10400.0,4.605368575331187
10500.0,4.6054379215829755
10600.0,4.605469663244431
10700.0,4.604971735984684
10800.0,4.605765104842366
10900.0,4.605203585546832
11e3,4.605431609165726
11100.0,4.605222052419057
11200.0,4.604960239410655
11300.0,4.605410658427527
11400.0,4.605652137426965
11500.0,4.605418314584591
11600.0,4.605673635073664
11700.0,4.605419725089707
11800.0,4.605470720870574
11900.0,4.605697053968144
12e3,4.605545799015374
12100.0,4.605595561107105
12200.0,4.6053117809857564
12300.0,4.605025485487663
12400.0,4.605281633436206
12500.0,4.605152505249687
12600.0,4.605570023549993
12700.0,4.605443420072826
12800.0,4.605778132396837
12900.0,4.60522451280338
13e3,4.605343948470108
13100.0,4.605269097508222
13200.0,4.605518105672274
13300.0,4.605547622169766
13400.0,4.6053090038638524
13500.0,4.605168990131969
13600.0,4.605247892635487
13700.0,4.605581289282161
13800.0,4.605364581010764
13900.0,4.605576214699835
14e3,4.605061859209919
14100.0,4.605431497669407
14200.0,4.605484663471543
14300.0,4.605233216662121
14400.0,4.605284753943711
14500.0,4.605370910952329
14600.0,4.605148611433422
14700.0,4.6053453188456865
14800.0,4.605355640184841
14900.0,4.605420541900278
15e3,4.605391089068638
15100.0,4.605533188842193
15200.0,4.6052260788895625
15300.0,4.605263705521782
15400.0,4.60561832285821
15500.0,4.605387631173566
15600.0,4.6048857571206465
15700.0,4.605366734473981
15800.0,4.60541329949244
15900.0,4.605091808722774
16e3,4.605264890432135
16100.0,4.60567501716994
16200.0,4.605479122276262
16300.0,4.605493389278978
16400.0,4.60510249643509
16500.0,4.605419897313611
16600.0,4.605273637207899
16700.0,4.605390021024233
16800.0,4.605124994066103
16900.0,4.605436663985047
17e3,4.6053781049915266
17100.0,4.60531951594133
17200.0,4.605078673501526
17300.0,4.605389564823564
17400.0,4.60535423926528
17500.0,4.605146210673649
17600.0,4.605389500408987
17700.0,4.605469009681359
17800.0,4.605413330829369
17900.0,4.605351227069374
18e3,4.6057125264358225
18100.0,4.605486575295582
18200.0,4.605397889611872
18300.0,4.605321104639822
18400.0,4.605469792524691
18500.0,4.6050695830330035
18600.0,4.605228726808227
18700.0,4.605255963482857
18800.0,4.605161907640925
18900.0,4.605004863716142
19e3,4.605342794853305
19100.0,4.60508552791382
19200.0,4.60546536317345
19300.0,4.60510283556498
19400.0,4.60533988005566
19500.0,4.605282869557806
19600.0,4.6049884693236365
19700.0,4.605342866271504
19800.0,4.604921579590567
19900.0,4.605190068653097
2e4,4.605512252815576
20100.0,4.605262366091481
20200.0,4.605238611290047
20300.0,4.605093740687714
20400.0,4.605293820570816
20500.0,4.605397786330148
20600.0,4.605331414189291
20700.0,4.605365731911302
20800.0,4.605042489817847
20900.0,4.6053937020323215
21e3,4.605394525333083
21100.0,4.605324758512292
21200.0,4.605393564424086
21300.0,4.605239028560023
21400.0,4.605150971771001
21500.0,4.605243040986207
21600.0,4.605251305814812
21700.0,4.60541106715966
21800.0,4.605324393671448
21900.0,4.605138938340328
22e3,4.605152587581691
22100.0,4.605312146373206
22200.0,4.605047446852971
22300.0,4.6053576336011846
22400.0,4.605442670089673
22500.0,4.605205177958998
22600.0,4.605473625765909
22700.0,4.605083815542858
22800.0,4.605249211631028
22900.0,4.605434413057408
23e3,4.605524779315277
23100.0,4.605131525252797
23200.0,4.605141858352495
