n,Ent
100.0,1.3994038494535666
200.0,1.4197122834489289
300.0,1.4150092381549104
400.0,1.4158488166051477
500.0,1.4177694992754504
600.0,1.4200254415381852
700.0,1.4163191935689037
800.0,1.4142152199781113
900.0,1.4185444156466243
1e3,1.420580046795135
1100.0,1.4169017266412978
1200.0,1.417936504115665
1300.0,1.4200934577499145
1400.0,1.417677897698968
1500.0,1.4187768629571593
1600.0,1.4190215269217814
1700.0,1.4185304546063846
1800.0,1.4169381234340515
1900.0,1.4191162897183622
2e3,1.4187104925960161
2100.0,1.417893915522255
2200.0,1.417691301967815
2300.0,1.4193939031117337
2400.0,1.4173230180289345
2500.0,1.417975729546102
2600.0,1.417073279735394
2700.0,1.4179095611530597
2800.0,1.4202285317628365
2900.0,1.4172995706828606
3e3,1.4187241809383697
3100.0,1.4185051091043963
3200.0,1.4194351033543695
3300.0,1.4189620484587484
3400.0,1.41770891228373
3500.0,1.4204980356688126
3600.0,1.4182799287461825
3700.0,1.418976274537514
3800.0,1.4183429133769716
3900.0,1.4196616015310035
4e3,1.4179012038582979
4100.0,1.417189219433785
4200.0,1.417906678423802
4300.0,1.4177715389316488
4400.0,1.4199707280262566
4500.0,1.419463220681224
4600.0,1.4193520201896588
4700.0,1.419408499660265
4800.0,1.4182864013188747
4900.0,1.4183819531596689
5e3,1.4193903186698895
5100.0,1.4181694758099221
5200.0,1.418637209603013
5300.0,1.4189889595065694
5400.0,1.4187740205801915
5500.0,1.4192292782561624
5600.0,1.4167194891309922
5700.0,1.4190786362881544
5800.0,1.4188784179135616
5900.0,1.4200550308508937
6e3,1.4201603537596148
6100.0,1.4183775885095142
6200.0,1.4190000283697581
6300.0,1.4184752481476606
6400.0,1.419899935478236
6500.0,1.4187456018244615
6600.0,1.4185974432491724
6700.0,1.419250126594072
6800.0,1.4184297277543658
6900.0,1.417883866230255
7e3,1.4188531476268245
7100.0,1.4189403703665702
7200.0,1.4187709686625496
7300.0,1.4202083065768396
7400.0,1.4193356828852275
7500.0,1.4190409545578304
7600.0,1.4189904069474186
7700.0,1.4191539825639385
7800.0,1.4185396574821065
7900.0,1.4190565385575058
