n,Ent.x,Ent.y,Ent
100.0,4.604651323141168,4.609916765127762,4.613561373949643
200.0,4.609323800354426,4.601468438890673,4.606150194088391
300.0,4.605183751176989,4.608245415759194,4.609231421262715
400.0,4.605863304825028,4.606021534975681,4.6053767666957395
500.0,4.607325388905765,4.604400232000486,4.6074522209238324
600.0,-Inf,4.606474454732495,4.6059047284799854
700.0,4.603272261608614,4.606523758138573,4.606821090668507
800.0,4.605314841098715,4.60491318093755,4.606361694264494
900.0,4.607482975656411,4.606197354642369,4.605193905200416
1e3,4.602561801198882,4.606364776491163,4.605260489111406
1100.0,4.607673288793912,4.606498172812323,4.605601380829671
1200.0,4.604598210180488,4.60641417632208,4.605384888845514
1300.0,4.604575032102165,4.606233920132818,4.606117561449763
1400.0,4.60381572580561,4.606106207898083,4.6052572272564145
1500.0,4.607441117271137,4.60698121802833,4.605517235344198
1600.0,4.602169574791466,4.603548516527817,4.604261925142
1700.0,4.605471336190132,4.605733303411225,4.605515904152114
1800.0,4.6069040536174635,4.605041224781849,4.605224827375059
1900.0,4.6069741194693705,4.605099692026142,4.605752565305921
2e3,4.604640296189552,4.603980962671845,4.604656541669291
2100.0,4.603580731912195,4.604958640915005,4.604735964195692
2200.0,4.60427174005303,4.605338444563771,4.606248452498487
2300.0,-Inf,4.6055040338708135,4.606518968827351
2400.0,4.605513698953841,4.604820469116675,4.605568432638313
2500.0,4.60317898357634,4.606924103041962,4.604721083276737
2600.0,4.607038011077212,4.605725922741168,4.604431132030532
2700.0,4.608118289179464,4.606187543565017,4.605272733509522
2800.0,4.605117877784814,4.605256408525287,4.604668517999119
2900.0,-Inf,4.605276209016751,4.605708899105312
3e3,4.603966650125563,4.60586090799765,4.605715951988126
3100.0,-Inf,4.604576472057539,4.606249775594521
3200.0,-Inf,4.605436539207235,4.60599280967851
3300.0,-Inf,4.605713424444973,4.605625903180368
3400.0,4.606503473446627,4.605813164253244,4.604909048022364
3500.0,4.607167228437089,4.604974008355772,4.605249310919184
3600.0,-Inf,4.605507092951502,4.604806153771128
3700.0,-Inf,4.606076718158256,4.605415248177329
3800.0,-Inf,4.606054069237641,4.604320883314852
3900.0,-Inf,4.605307373153627,4.6046467062939405
4e3,4.6038086351075,4.606313371772549,4.60563874825644
4100.0,-Inf,4.6033693102194055,4.606110672215295
4200.0,4.605379357911847,4.605624510926394,4.605272297770747
4300.0,4.605421231955526,4.603851855086194,4.605381023826701
4400.0,4.60464812147167,4.605165060603064,4.603923523171516
4500.0,-Inf,4.604860869633916,4.605910349735646
4600.0,-Inf,4.60559667091245,4.605543468515609
4700.0,4.6042521658517215,4.604892897562342,4.605803002071154
4800.0,-Inf,4.604861488057023,4.604908043750635
4900.0,-Inf,4.606218657377512,4.605307555339352
5e3,-Inf,4.605514150892065,4.605176305928127
